code,description,specification
sinf,protection scheme information box,ISO
skip,free space,ISO
smhd,"sound media header, overall information (sound track only)",ISO
sprg,sub-picture region,OMAF
srmb,System Renewability Message,DVB
srmc,System Renewability Message container,DVB
srpp,STRP Process,ISO
srqr,sphere region quality ranking,OMAF
ssix,Sub-sample index,ISO
sstl,SVC sub track layer box,NALu Video
stbl,"sample table box, container for the time/space map",ISO
stco,"chunk offset, partial data-offset information",ISO
stdp,sample degradation priority,ISO
sthd,Subtitle Media Header Box,ISO
stmg,MVC sub track multiview group box,NALu Video
strd,Sub-track definition,ISO
stri,Sub-track information,ISO
stsc,"sample-to-chunk, partial data-offset information",ISO
stsd,"sample descriptions (codec types, initialization etc.)",ISO
stsg,Sub-track sample grouping,ISO
stsh,shadow sync sample table,ISO
stss,sync sample table (random access points),ISO
stsz,sample sizes (framing),ISO
stti,Sub track tier box,NALu Video
stts,(decoding) time-to-sample,ISO
styp,Segment Type Box,ISO
stz2,compact sample sizes (framing),ISO
subs,Sub-sample information,ISO
suep,signer identity information,ONVIF
sumi,supplemental surveillance meta information,MPEG-VSAF
surl,Source URL,ISO-Partial
swtc,Multiview Group Relation,NALu Video
tenc,Track Encryption,ISO Common Encryption
tfad,Track fragment adjustment box,3GPP
tfdt,Track fragment decode time,ISO
tfhd,Track fragment header,ISO
tfma,Track fragment media adjustment box,3GPP
tfra,Track fragment radom access,ISO
tibr,Tier Bit rate,NALu Video
tiri,Tier Information,NALu Video
tkhd,"Track header, overall information about the track",ISO
traf,Track fragment,ISO
trak,container for an individual track or stream,ISO
tref,track reference container,ISO
trep,track extension properties,ISO
trex,track extends defaults,ISO
trgr,Track grouping information,ISO
trik,Facilitates random access and trick play modes,DECE
trun,track fragment run,ISO
tstb,TileSubTrackGroupBox,NALu Video
ttyp,track type and compatibility,ISO
tyco,type and-combination,ISO
udta,user-data,ISO
uinf,a tool by which a vendor may provide access to additional information associated with a UUID,JPEG2000
UITS,Unique Identifier Technology Solution,Universal Music Group
ulst,a list of UUID’s,JPEG2000
url$20,a URL,JPEG2000
uuid,user-extension box,ISO
vmhd,"video media header, overall information (video track only)",ISO
vssn,viewing space,OMAF
vwdi,Multiview Scene Information,NALu Video
xml$20,XML container,ISO
xml$20,a tool by which vendors can add XML formatted information,JPEG2000
!mof,Compressed movie fragment,ISO
!mov,Compressed movie,ISO
!six,Compressed segment index,ISO
!ssx,Compressed subsegment index,ISO
